date,temperature,humidity,luminosity
2020-12-03 16:14:50.869,17.2,16.6,120
2020-12-03 16:14:48.592,17.2,16.7,117
2020-12-03 16:14:46.315,17.3,16.7,117
2020-12-03 16:14:44.038,17.3,16.7,118
2020-12-03 16:14:41.764,17.3,16.7,118
2020-12-03 16:14:39.487,17.3,16.7,120
2020-12-03 16:14:37.210,17.3,16.6,117
2020-12-03 16:14:34.932,17.3,16.6,117
2020-12-03 16:14:32.655,17.3,16.6,117
2020-12-03 16:14:30.382,17.3,16.6,118
2020-12-03 16:14:28.105,17.3,16.6,116
2020-12-03 16:14:25.827,17.3,16.6,118
2020-12-03 16:14:23.550,17.3,16.6,117
2020-12-03 16:14:21.273,17.3,16.6,118
2020-12-03 16:14:18.999,17.3,16.6,117
2020-12-03 16:14:16.722,17.3,16.6,117
2020-12-03 16:14:14.445,17.3,16.6,117
2020-12-03 16:14:12.167,17.4,16.7,117
2020-12-03 16:14:09.890,17.3,16.7,117
2020-12-03 16:14:07.617,17.3,16.7,116
2020-12-03 16:14:05.340,17.3,16.7,117
2020-12-03 16:14:03.062,17.3,16.7,117
2020-12-03 16:14:00.785,17.4,16.7,115
2020-12-03 16:13:58.508,17.4,16.7,118
2020-12-03 16:13:56.234,17.4,16.7,118
2020-12-03 16:13:53.957,17.3,16.7,119
2020-12-03 16:13:51.680,17.3,16.7,117
2020-12-03 16:13:49.403,17.3,16.7,118
2020-12-03 16:13:47.126,17.3,16.7,118
2020-12-03 16:13:44.852,17.3,16.7,118
2020-12-03 16:13:42.575,17.3,16.7,119
2020-12-03 16:13:40.298,17.3,16.7,118
2020-12-03 16:13:38.021,17.3,16.7,118
2020-12-03 16:13:35.743,17.3,16.7,119
2020-12-03 16:13:33.470,17.3,16.7,118
2020-12-03 16:13:31.193,17.3,16.7,120
2020-12-03 16:13:28.915,17.3,16.7,123
2020-12-03 16:13:26.638,17.3,16.7,118
2020-12-03 16:13:24.365,17.3,16.7,118
2020-12-03 16:13:22.088,17.3,16.7,120
2020-12-03 16:13:19.810,17.3,16.7,115
2020-12-03 16:13:17.533,17.3,16.7,117
2020-12-03 16:13:15.256,17.3,16.6,118
2020-12-03 16:13:12.982,17.3,16.7,118
2020-12-03 16:13:10.705,17.3,16.7,118
2020-12-03 16:13:08.428,17.3,16.6,118
2020-12-03 16:13:06.150,17.3,16.6,116
2020-12-03 16:13:03.873,17.3,16.6,118
2020-12-03 16:13:01.600,17.4,16.6,118
2020-12-03 16:12:59.323,17.3,16.6,118
2020-12-03 16:12:57.045,17.3,16.6,118
2020-12-03 16:12:54.768,17.3,16.6,117
2020-12-03 16:12:52.491,17.4,16.6,118
2020-12-03 16:12:50.217,17.3,16.6,117
2020-12-03 16:12:47.940,17.3,16.6,117
2020-12-03 16:12:45.663,17.4,16.6,118
2020-12-03 16:12:43.385,17.3,16.6,119
2020-12-03 16:12:41.108,17.3,16.6,119
2020-12-03 16:12:38.835,17.4,16.6,118
2020-12-03 16:12:36.557,17.4,16.6,119
2020-12-03 16:12:34.280,17.4,16.6,118
2020-12-03 16:12:32.003,17.4,16.6,117
2020-12-03 16:12:29.730,17.4,16.6,118
2020-12-03 16:12:27.452,17.4,16.5,118
2020-12-03 16:12:25.175,17.4,16.6,117
2020-12-03 16:12:22.898,17.4,16.6,117
2020-12-03 16:12:20.620,17.4,16.6,118
2020-12-03 16:12:18.347,17.4,16.6,117
2020-12-03 16:12:16.070,17.4,16.6,117
2020-12-03 16:12:13.793,17.4,16.5,118
2020-12-03 16:12:11.515,17.4,16.5,118
2020-12-03 16:12:09.238,17.4,16.5,118
2020-12-03 16:12:06.965,17.4,16.5,118
2020-12-03 16:12:04.687,17.4,16.5,117
2020-12-03 16:12:02.410,17.4,16.5,118
2020-12-03 16:12:00.133,17.4,16.6,121
2020-12-03 16:11:57.855,17.4,16.5,117
2020-12-03 16:11:55.582,17.4,16.6,117
2020-12-03 16:11:53.305,17.4,16.6,117
2020-12-03 16:11:51.028,17.4,16.6,117
2020-12-03 16:11:48.750,17.4,16.6,117
2020-12-03 16:11:46.477,17.4,16.6,117
2020-12-03 16:11:44.200,17.5,16.7,117
2020-12-03 16:11:41.923,17.5,16.7,117
2020-12-03 16:11:39.646,17.4,16.6,117
2020-12-03 16:11:37.368,17.5,16.7,117
2020-12-03 16:11:35.095,17.5,16.7,116
2020-12-03 16:11:32.818,17.5,16.7,123
2020-12-03 16:11:30.540,17.4,16.6,117
2020-12-03 16:11:28.263,17.4,16.6,117
2020-12-03 16:11:25.986,17.4,16.6,117
2020-12-03 16:11:23.713,17.5,16.7,118
2020-12-03 16:11:21.435,17.4,16.6,117
2020-12-03 16:11:19.158,17.5,16.7,117
2020-12-03 16:11:16.881,17.5,16.7,117
2020-12-03 16:11:14.603,17.4,16.6,118
2020-12-03 16:11:12.330,17.5,16.7,116
2020-12-03 16:11:10.053,17.5,16.7,117
